year,region,country,country_label,poe,state,total_arrivals,male_arrivals,female_arrivals
2023,Asia,IDN,Indonesia,Pos Imigresen Bukit Bunga,Kelantan,42,35,7
2023,Asia,IND,India,LT Tawau,Sabah,42,32,10
2023,Asia,IND,India,Rantau Panjang,Kelantan,42,37,5
2023,Asia,JPN,Japan,Wang Kelian,Perlis,42,27,15
2023,Asia,TWN,Taiwan,Telaga Harbour Park,Kedah,42,14,28
2023,Asia,ARE,United Arab Emirates,LTA Bayan Lepas,Pulau_Pinang,41,22,19
2023,Asia,BGD,Bangladesh,LTA Sultan Ismail Senai,Johor,40,35,5
2023,Asia,RUS,Russian Federation,Stulang Laut,Johor,40,27,13
2023,Asia,SAU,Saudi Arabia,LTA Subang Terminal 3,Selangor,40,23,17
2023,Asia,SAU,Saudi Arabia,LTA Sultan Ismail Senai,Johor,40,32,8
2023,Asia,UZB,Uzbekistan,LTA Kota Kinabalu,Sabah,40,32,8
2023,Asia,HKG,Hong Kong,Pelabuhan Klang Barat - SCT,Selangor,39,17,22
2023,Asia,KOR,Korea,Pelabuhan Melaka,Melaka,39,26,13
2023,Asia,LKA,Sri Lanka,Pelabuhan Klang Barat - SCT,Selangor,39,17,22
2023,Asia,SGP,Singapore,Pos Imigresen Bukit Bunga,Kelantan,39,28,11
2023,Asia,TUR,Turkey,Wang Kelian,Perlis,39,28,11
2023,Asia,VNM,Vietnam,Pandaruan,Sarawak,39,17,22
2023,Asia,BRN,Brunei Darussalam,LTA Subang Terminal 3,Selangor,38,17,21
2023,Asia,LKA,Sri Lanka,Tedungan,Sarawak,38,32,6
2023,Asia,KAZ,Kazakhstan,Wang Kelian,Perlis,37,12,25
2023,Asia,MNG,Mongolia,LTA Langkawi,Kedah,37,14,23
2023,Asia,PAK,Pakistan,LTA Kuching,Sarawak,37,30,7
2023,Asia,YEM,Yemen,LTA Bayan Lepas,Pulau_Pinang,37,31,6
2023,Asia,IND,India,Wang Kelian,Perlis,36,23,13
2023,Asia,THA,Thailand,Pejabat Imigresen Desaru Coast,Johor,36,7,29
2023,Asia,BGD,Bangladesh,LTA Kota Kinabalu,Sabah,35,23,12
2023,Asia,LKA,Sri Lanka,LTA Ipoh,Perak,35,22,13
2023,Asia,THA,Thailand,LT Bintulu,Sarawak,35,27,8
2023,Asia,TUR,Turkey,Woodlands Train Checkpoint,Singapore,35,24,11
2023,Asia,TWN,Taiwan,Tanjung Pengelih,Johor,35,16,19
2023,Asia,HKG,Hong Kong,Gelang Patah,Johor,34,20,14
2023,Asia,KAZ,Kazakhstan,LTA Kota Kinabalu,Sabah,34,13,21
2023,Asia,KHM,Cambodia,LTA Subang Terminal 3,Selangor,34,17,17
2023,Asia,SAU,Saudi Arabia,Pandaruan,Sarawak,34,26,8
2023,Asia,CHN,China,Jeti Tioman,Pahang,33,13,20
2023,Asia,IND,India,LT Sibu,Sarawak,33,26,7
2023,Asia,PHL,Philippines,Pelabuhan Klang Utara,Selangor,33,13,20
2023,Asia,SGP,Singapore,Pos Kawalan Imigresen Muar,Johor,33,21,12
2023,Asia,SYR,Syrian Arab Republic,Gelang Patah,Johor,33,23,10
2023,Asia,IND,India,Tebedu,Sarawak,32,29,3
2023,Asia,KHM,Cambodia,Pelabuhan Klang Barat - SCT,Selangor,32,15,17
2023,Asia,LKA,Sri Lanka,Pelabuhan Tanjung Pelepas,Johor,32,32,0
2023,Asia,NPL,Nepal,LTA Kota Kinabalu,Sabah,32,27,5
2023,Asia,SGP,Singapore,LT Sandakan,Sabah,32,16,16
2023,Asia,CHN,China,Jeti Pasir Gudang,Johor,31,22,9
2023,Asia,OMN,Oman,Woodlands Train Checkpoint,Singapore,31,13,18
2023,Asia,PAK,Pakistan,LT Bintulu,Sarawak,31,30,1
2023,Asia,BHR,Bahrain,LTA Bayan Lepas,Pulau_Pinang,30,19,11
2023,Asia,HKG,Hong Kong,LTA Kuala Lumpur Terminal 2,Selangor,30,11,19
2023,Asia,IDN,Indonesia,Pejabat Imigresen Port Swettenham,Selangor,30,14,16
2023,Asia,KGZ,Kyrgyz Republic,LTA Bayan Lepas,Pulau_Pinang,30,15,15
2023,Asia,MMR,Myanmar,LT Bintulu,Sarawak,30,30,0
2023,Asia,MMR,Myanmar,LTA Kuantan,Pahang,30,6,24
2023,Asia,THA,Thailand,Tanjung Pengelih,Johor,30,15,15
2023,Asia,VNM,Vietnam,LT Tawau,Sabah,30,11,19
2023,Asia,IRQ,Iraq,LTA Bayan Lepas,Pulau_Pinang,29,23,6
2023,Asia,JOR,Jordan,Bukit Kayu Hitam,Kedah,29,22,7
2023,Asia,JPN,Japan,LT Sibu,Sarawak,29,20,9
2023,Asia,LBN,Lebanon,LTA Langkawi,Kedah,29,11,18
2023,Asia,MMR,Myanmar,Pandaruan,Sarawak,29,14,15
2023,Asia,MNG,Mongolia,Woodlands Train Checkpoint,Singapore,29,17,12
2023,Asia,VNM,Vietnam,Dermaga Labuan,Labuan,29,18,11
2023,Asia,KOR,Korea,LTA Kuantan,Pahang,28,9,19
2023,Asia,LKA,Sri Lanka,Pelabuhan Klang Barat - KMT,Selangor,28,15,13
2023,Asia,MMR,Myanmar,LT Sibu,Sarawak,28,7,21
2023,Asia,RUS,Russian Federation,Pengkalan Hulu (Bukit Berapit),Perak,28,18,10
2023,Asia,SYR,Syrian Arab Republic,LTA Bayan Lepas,Pulau_Pinang,28,24,4
2023,Asia,YEM,Yemen,Bukit Kayu Hitam,Kedah,28,27,1
2023,Asia,CHN,China,Dermaga Tawau,Sabah,27,21,6
2023,Asia,IDN,Indonesia,Pelabuhan Kuantan,Pahang,27,27,0
2023,Asia,IRN,Iran,Sungai Tujuh,Sarawak,27,17,10
2023,Asia,MDV,Maldives,Woodlands Train Checkpoint,Singapore,27,9,18
2023,Asia,PAK,Pakistan,LTA Ipoh,Perak,27,17,10
2023,Asia,PAK,Pakistan,Pelabuhan Tanjung Pelepas,Johor,27,27,0
2023,Asia,CYP,Cyprus,Bangunan Sultan Iskandar,Johor,26,13,13
2023,Asia,HKG,Hong Kong,LTA Kuantan,Pahang,26,13,13
2023,Asia,KOR,Korea,Rantau Panjang,Kelantan,26,12,14
2023,Asia,LKA,Sri Lanka,LTA Subang Terminal 3,Selangor,26,20,6
2023,Asia,NPL,Nepal,Woodlands Train Checkpoint,Singapore,26,22,4
2023,Asia,QAT,Qatar,LTA Bayan Lepas,Pulau_Pinang,26,12,14
2023,Asia,VNM,Vietnam,Pejabat Imigresen Desaru Coast,Johor,26,5,21
2023,Asia,CHN,China,Roro Labuan,Labuan,25,17,8
2023,Asia,HKG,Hong Kong,LTA Kuala Lumpur Terminal 1,Selangor,25,13,12
2023,Asia,HKG,Hong Kong,Padang Besar,Perlis,25,18,7
